system:index,class code,sum,.geo
0_0,0,34146.64446308922,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1,1,54124.640193677194,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2,2,61875.772028281564,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3,3,81347.25610153728,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4,4,32965.98408423062,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5,5,114013.8410123568,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6,6,162892.45450558985,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_7,7,103685.1602759743,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_8,8,75660.51011855429,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_9,9,30199.085061158436,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_10,10,67007.3779197284,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_11,11,12617.831061736897,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_12,12,199673.2772260029,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_13,13,42568.51958335807,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_14,14,59144.58327183978,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_15,15,9524.70785957281,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0,0,39470.467068343896,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1,1,50437.79347896432,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_2,2,83280.78932141906,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_3,3,30991.323907316655,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_4,4,10394.185616767681,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_5,5,151760.6807768584,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_6,6,153688.0970985237,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_7,7,105685.3769459519,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_8,8,90807.36973937044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_9,9,36001.278946625054,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_10,10,64509.15211747212,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_11,11,11357.796198215421,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_12,12,190552.7991227407,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_13,13,46921.99145300853,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_14,14,58860.63217186321,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_15,15,16727.910803247316,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0,0,34790.68684952218,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_1,1,58252.98061574326,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_2,2,86139.19250246759,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_3,3,12212.32353222771,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_4,4,8458.35217926638,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_5,5,164881.530461065,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_6,6,162278.10495644575,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_7,7,102722.22442569611,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_8,8,110155.41473757944,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_9,9,37022.07990925281,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_10,10,42938.62360231573,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_11,11,15729.517442371549,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_12,12,198782.6360827731,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_13,13,37602.36788932537,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_14,14,55140.37278775218,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_15,15,14341.236792884249,"{""type"":""MultiPoint"",""coordinates"":[]}"
